Sea Port of Indonesia,Latitude,Longitude
Port of Quezon,9.072222222,118.0822222
"Port of Puerto Princesa, Palawan",9.730555556,118.7577778
"Port of Basilan City, Basilan",6.683611111,121.9938889
Port of Zamboanga,6.910833333,122.0775
Port of Santa Maria,7.738888889,122.1494444
Port of Suba-Nipa,7.359722222,122.9002778
Port of Polloc,7.35,124.2166667
"Port of Ozamis, Mindanao",8.146666667,123.8333333
"Port of Iligan, Mindanao",8.209722222,124.2347222
"Port of Bislig, Mindanao",8.276388889,126.3444444
"Port of Cagayan De Oro, Mindanao",8.512222222,124.6333333
Port of Bugo,8.494722222,124.7555556
Port of Tagaloan,8.552222222,124.7469444
Port of Rio Tuba,8.521666667,117.4716667
Port of Gingoog,8.833055556,125.1
Port of Nasipit Port,8.956111111,125.3552778
Port of Masao,9.074166667,125.2291667
"Port of Surigao, Mindanao",9.766666667,125.4830556
Port of Tanauan,11.1,125.0166667
Port of Tacloban,11.25,125
Port of Isabel,10.93805556,124.4111111
Port of Tabaco/Legaspi,13.36666667,123.7330556
Port of Tandoc,14.05,123.3
Port of Jose Panganiban,14.25138889,122.6611111
Port of Hondagua/Siain,13.94388889,122.2386111
Port of Atimonan,13.98388889,121.9163889
Port of Pagbilao,13.92527778,121.7719444
Port of Port Irene,18.33638889,122.1219444
Port of Basco,20.45777778,121.9972222
"Port of Aparri, Luzon",18.31444444,121.6555556
Port of Claveria,18.58305556,121.0611111
Port of Currimao,17.9875,120.5052778
"Port of San Fernando, Luzon",16.77444444,120.3491667
Port of Poro/San Fernando,16.60083333,120.3436111
Port of Masinloc,15.60722222,119.9169444
Port of Subic Bay,14.79111111,120.3055556
"Port of Bataan, Mariveles",14.59166667,120.5780556
Port of Limay/Bataan,14.46944444,120.5833333
"Port of Mariveles, Luzon",14.43305556,120.5
"Port of Batangas, Luzon",13.77,121.0416667
Port of Calaca,13.72861111,121.0652778
Port of Olongapo,13.78444444,120.2005556
Port of Cadiz,10.96638889,123.2830556
Port of Iloilo,10.72916667,122.5527778
Port of Jordan,10.63138889,122.6066667
Port of Pulupandan,10.51666667,122.8247222
"Port of Bacolod, Negros",10.63416667,122.9386111
Port of Bacolod,10.71555556,122.9611111
Port of San Carlos,10.48805556,123.4138889
Port of Sangi/Cebu,10.33305556,123.6666667
Port of Tagbilaran,9.65,123.8883333
Port of Dumaguete,9.3,123.3
Port of Thursday Island,-10.55888889,142.1944444
Port of Cape Flattery,-14.98027778,145.2836111
Port of Cairns,-16.93305556,145.7830556
Port of Mourilyan,-17.61305556,146.1319444
Port of Torres Strait,-17.49972222,146.25
Port of Lucinda,-18.53305556,146.3330556
Port of Abbot Point,-19.92222222,148.0555556
Port of Mackay,-21.08305556,149.2166667
Port of Hay Point,-21.29972222,149.2711111
Port of Port Alma,-23.57944444,150.8583333
Port of Gladstone,-23.84222222,151.2594444
Port of Bundaberg,-24.77277778,152.3886111
Port of Yamba,-29.36388889,153.3391667
Port of Newcastle,-32.93333333,151.75
Port of Botany Bay,-33.99083333,151.2391667
Port of Port Kembla,-34.47333333,150.8972222
Port of Eden,-37.06666667,149.8836111
Port of Hastings,-38.3,145.2166667
Port of Geelong,-38.15,144.3666667
Port of Portland,-38.3375,141.5891667
Port of Port Stanvac,-35.03833333,138.5377778
Port of Cape Jervis,-35.59083333,138.1383333
Port of Penneshaw,-35.73444444,137.9444444
Port of Ballast Head,-35.74972222,137.7613889
Port of Kingscote,-35.65,137.6058333
Port of Klein Point,-34.94388889,137.7611111
Port of Port Giles,-35.02861111,137.7444444
Port of Ardrossan,-34.43305556,137.9166667
Port of Wallaroo,-33.94222222,137.6438889
Port of Port Pirie,-33.14972222,138.0838889
Port of Whyalla,-33.01666667,137.5830556
Port of Port Bonython,-32.96111111,137.7444444
Port of Port Lincoln,-34.72416667,135.8391667
Port of Thevenard,-32.15333333,133.5336111
Port of Esperance,-33.86666667,121.8830556
Port of Albany,-35.03333333,117.8502778
Port of Bunbury,-33.32,115.6344444
Port of Kwinana,-32.23305556,115.7666667
Port of Perth,-31.96638889,115.8163889
Port of Groote Eylandt,-28.75,114.6436111
Port of Useless Loop,-26.1325,113.3997222
Port of Carnarvon,-24.85166667,113.6438889
Port of Cape Cuvier,-24.25166667,113.4161111
Port of Exmouth,-22.33305556,114.1666667
Port of Griffin Venture Terminal,-21.21638889,114.6330556
Port of Saladin Marine Terminal,-21.4,115.05
Port of Airlie Island,-21.32277778,115.1672222
Port of Barrow Island,-20.82666667,115.4069444
Port of Varanus Island Terminal,-20.63333333,115.5997222
Port of Stag Marine Terminal,-20.28305556,116.25
Port of Wandoo Marine Terminal,-20.15,116.4166667
Port of Cossack Pioneer Terminal,-19.58333333,116.4497222
Port of Dampier,-20.66138889,116.7272222
Port of Port Walcott,-20.61666667,117.1830556
Port of Port Hedland,-20.32416667,118.5422222
Port of Broome,-17.91416667,122.2333333
Port of Wyndham,-15.46638889,128.1219444
Port of Challis Venture Terminal,-12.11666667,125.0166667
Port of Jabiru Marine Terminal,-11.91666667,125
Port of Darwin (Nt),-12.4525,130.8288889
Port of Gove,-12.21861111,136.5813889
Port of Milner Bay,-13.89861111,136.4605556
Port of Bing Bong,-15.42388889,136.2197222
Port of Karumba,-17.51888889,140.8002778
Port of Weipa,-12.645,141.8719444
Port of Jurong,1.252777778,103.7
Port of Teluk Ewa,6.422222222,99.76666667
Port of Kuah,6.3,99.85666667
Port of Georgetown,5.439722222,100.3044444
Port of Lumut,4.266666667,100.65
Port of Telok Anson,4.033055556,101
Port of Port Dickson,2.524166667,101.7911111
Port of Sungai Udang,2.251111111,102.1341667
Port of Muar,2.033055556,102.55
Port of Telok Ramunia,1.370555556,104.2466667
Port of Pulau Tioman,2.783055556,104.1666667
Port of Kuantan (Tanjong Gelang),3.8,103.3330556
Port of Kemaman,4.3,103.4666667
Port of Dungun (Kuala Dungun),4.783055556,103.4330556
Port of Dulang Marine Terminal,5.8,104.1666667
Port of Lundu,1.666666667,109.8666667
"Port of Lingga, Sarawak",1.35,111.1666667
Port of Tanjung Manis,2.155,111.3405556
Port of Sarikei,2.1325,111.5166667
Port of Bintangor,2.1675,111.6327778
"Port of Sibu, Sarawak",2.285277778,111.8297222
"Port of Bintulu, Sarawak",3.175,113.03
Port of Miri,4.338055556,113.9788889
"Port of Miri, Sarawak",4.446111111,114.005
"Port of Limbang, Sarawak",4.821666667,115.0708333
"Port of Sipitang, Sabah",5.036111111,115.5247222
Port of Sipitang,5.098333333,115.5622222
"Port of Labuan, Sabah",5.283055556,115.25
Port of Labuan,5.222777778,115.8911111
Port of Kota Kinabalu,5.966388889,116.0666667
Port of Sapangar Bay Oil Terminal,6.107777778,116.1111111
Port of Kudat,6.883055556,116.85
"Port of Lahad Datu, Sabah",5.033055556,118.3330556
Port of Bakapit,4.955277778,118.5955556
Port of Kunak,4.683055556,118.25
"Port of Semporna, Sabah",4.494166667,118.6013889
Port of Tawau,4.250277778,117.8830556
